tariff_plan,profile,phi,gamma,eta,tau,flex_1hr,flex_3hr,flex_6hr,flex_12hr,flex_24hr,flex_day,flex_week
tou,LP1,0,2,0,6,50.54832265277698,10.939431606582144,7.307939471554387,5.479002920521797,0.05903433380786004,0.11806866761572007,0.04039164242122906
tou,LP1,0,2,0,12,72.47379208487945,38.40759679396996,13.433601300377676,12.073812790568375,0.15678808664357072,0.31357617328714144,0.0738416179095113
tou,LP1,0,2,0,18,78.59486866237548,53.992685707657735,13.422584163597865,7.04212930349401,0.1373172941286139,0.2746345882572278,0.07623203363962826
tou,LP1,0,2,0,24,84.31055081524842,59.68785565240773,22.594702979858816,1.0497692069850768,0.1359341514986895,0.271868302997379,0.06956236354308204
tou,LP1,0,2,0,30,87.65330947908066,69.31179760132109,37.04273718963015,9.512991421387753,0.3111121839019663,0.6222243678039326,0.05753583139718135
tou,LP1,0,2,0,36,90.70225180909296,72.02401928492813,38.84690893102282,14.841721052975762,0.6470465228213772,1.2940930456427544,0.108400828306218
tou,LP1,0,2,0,48,90.67821740997864,71.95407174412479,38.74985443300517,14.906129793538376,0.6357626826927502,1.2715253653855003,0.0995726337741375
tou,LP1,0,2,0,60,90.63296499694148,71.94515184220002,38.806634466536025,14.954889400659784,0.6209293235432445,1.241858647086489,0.10242528495048432
tou,LP1,0,2,0,72,90.78655203748816,72.07939834680515,38.91257770917458,14.77223395565064,0.6424991449616296,1.2849982899232593,0.10107099658179784
tou,LP1,0,3,0,6,45.002845797393505,8.819149794495932,6.222132669894958,4.876245506232426,0.05312496701236595,0.1062499340247319,0.03563411864622537
tou,LP1,0,3,0,12,68.11903061580448,33.82240378225709,13.664753570894316,13.28565748061448,0.15151787343764675,0.3030357468752935,0.07254390678023491
tou,LP1,0,3,0,18,76.51901058330365,50.8978302009496,13.741991488075248,9.213744660850717,0.1447597612276595,0.289519522455319,0.07820802071501631
tou,LP1,0,3,0,24,80.8390510902454,57.4170944697921,14.612500595159338,4.494882131003876,0.13516490012437588,0.27032980024875175,0.07255395141005083
tou,LP1,0,3,0,30,86.28152901633118,60.86791079729918,26.470463237330826,1.1238299661221165,0.14412071574944235,0.2882414314988847,0.06650997425882281
tou,LP1,0,3,0,36,89.82146062948148,70.85500696488188,38.25485747982515,13.436474977519582,0.4186237272849765,0.837247454569953,0.09050732060884936
tou,LP1,0,3,0,48,90.7197572404299,72.01075521127423,38.809839691635375,14.858687205623944,0.6430456707797537,1.2860913415595074,0.10039618626826843
tou,LP1,0,3,0,60,90.83371142406472,72.21411813465926,39.05744372565961,14.76089563858843,0.6464903117904073,1.2929806235808146,0.10549682758993884
tou,LP1,0,3,0,72,90.78595923915864,72.08318121438798,38.91849808076585,14.765845183907038,0.6429478301626274,1.2858956603252547,0.1013460949723314
tou,LP1,0,4,0,6,42.55150167495101,7.408313700429955,5.398474522742648,4.403629267545553,0.03714755888593114,0.07429511777186228,0.02942354275452169
