start,end,tariff
0,1,night
1,2,night
2,3,night
3,4,night
4,5,night
5,6,night
6,7,night
7,8,night
8,9,day
9,10,day
10,11,day
11,12,day
12,13,day
13,14,day
14,15,day
15,16,day
16,17,day
17,18,peak
18,19,peak
19,20,day
20,21,day
21,22,day
22,23,day
23,0,night
